formula,AR,IR,X,E,pot
Fe2O3,0.92,0.92,2.796,0.938,-0.014
Fe2O3,0.92,0.92,2.796,0.938,-0.014
Fe2O3,0.92,0.92,2.796,0.938,-0.014
Fe2O3,0.92,0.92,2.796,0.938,-0.014
Fe2O3,0.92,0.92,2.796,0.938,-0.014
NiCo2O4,0.921,0.64,2.776,1.189,0.077
NiCo2O4-Au0.44,1.1355,1.075,2.658,1.749,0.8835
NiCo2O4,0.921,0.64,2.776,1.189,0.077
NiCo2O4,0.921,0.64,2.776,1.189,0.077
NiCo2O4-Au0.44,1.1355,1.075,2.658,1.749,0.8835
NiCo2O4-Au0.44,1.1355,1.075,2.658,1.749,0.8835
Co(OH)2,0.61,0.49,2.632,1.019,-0.056
BNCuS,0.962,0.795,2.39,0.881,0.085
BNCuS,0.962,0.795,2.39,0.881,0.085
Rh,1.35,1.35,2.28,1.143,0.6
Rh,1.35,1.35,2.28,1.143,0.6
Rh,1.35,1.35,2.28,1.143,0.6
Au-Pt0.25,1.35,1.43,2.41,2.217,1.445
Au-Pt0.17,1.35,1.43,2.41,2.217,1.445
Au-Pt0.10,1.35,1.43,2.41,2.217,1.445
Au-Pt0.25,1.35,1.43,2.41,2.217,1.445
Au-Pt0.25,1.35,1.43,2.41,2.217,1.445
Au-Pt0.25,1.35,1.43,2.41,2.217,1.445
Au-Pt0.25,1.35,1.43,2.41,2.217,1.445
NiMoO4-Cu,1.1085,0.8375,2.436,1.2635,0.251
NiMoO4-Cu,1.1085,0.8375,2.436,1.2635,0.251
CoMoO4-Cu,1.1085,0.8385,2.4335,1.2225,0.2495
CoMoO4-Cu,1.1085,0.8385,2.4335,1.2225,0.2495
NHMoO3,0.692,0.692,2.953,0.969,0.026
NHMoO3,0.692,0.692,2.953,0.969,0.026
AuPt,1.35,1.43,2.41,2.217,1.445
Pt,1.35,1.35,2.28,2.125,1.2
Pt,1.35,1.35,2.28,2.125,1.2
Pt,1.35,1.35,2.28,2.125,1.2
Pt,1.35,1.35,2.28,2.125,1.2
Pt,1.35,1.35,2.28,2.125,1.2
Ni@Pt2,1.35,1.35,2.28,2.125,1.2
Ni@Pt,1.35,1.35,2.28,2.125,1.2
Ni@Pt0.5,1.35,1.35,2.28,2.125,1.2
SrFeO3,1.1,0.895,2.488,0.79,-0.632
La0.5Sr0.5MnO3,1.035,1.035,2.579,0.834,-0.526
La0.5Sr0.5FeO3,1.063,1.063,2.584,0.937,-0.56
LaNiO3,1.02,1.02,2.666,1.22,-0.526
LaNiO3-H2,0.635,0.635,2.433,0.9875,-0.526
LaMnO3,1.03,0.884,2.594,0.884,-0.71
LaMn0.5Ni0.5O3,1.025,0.871,2.63,1.052,-0.495
CoO,0.975,0.675,2.66,1.062,-0.14
LaCoO3,1.02,0.884,2.66,1.121,-0.394
CeO2,1.017,1.017,2.667,1.165,-0.29
Fe2O3,0.92,0.92,2.796,0.938,-0.014
Fe3O4,0.943,0.943,2.75,0.901,
CuO,0.975,0.64,2.67,1.348,0.17
Co3O4,0.921,0.921,2.771,1.119,
Mn2O3,0.92,0.628,2.684,0.669,-0.472
Cu(OH)2,0.61,0.476,2.636,1.133,0.068
LaCrO3,1.03,1.03,2.616,1.123,-0.62
LaFeO3,1.03,1.03,2.65,1.019,-0.481
CaMnO3,1,0.814,2.574,0.778,-0.542
NiO,0.975,0.67,2.675,1.309,-0.13
MnO2,0.867,0.557,2.81,0.801,0.016
Mn3O4,0.943,0.943,2.63,0.612,
Cu(OH)2,0.61,0.476,2.636,1.133,0.068
Cu(OH)2,0.61,0.476,2.636,1.133,0.068
Fe2O3,0.92,0.92,2.796,0.938,-0.014
Fe2O3,0.92,0.92,2.796,0.938,-0.014
Fe2O3,0.92,0.92,2.796,0.938,-0.014
Fe2O3,0.92,0.92,2.796,0.938,-0.014
Fe2O3,0.92,0.92,2.796,0.938,-0.014
Fe2O3,0.92,0.92,2.796,0.938,-0.014
